acc,bleu,meteor,f1,kt_corr,kt_pval,sp_corr,sp_pval,run
0.19830713422007254,0.19830713422007254,0.7086524250974062,0.18896863857300436,0.02539298669891174,0.754937525191455,0.02357920193470375,0.42160419185812315,0
0.19709794437726724,0.19709794437726724,0.7081821846029817,0.18971235821695573,0.026199113260781913,0.7621926642482868,0.02357920193470375,0.42160419185812315,1
0.20193470374848851,0.20193470374848851,0.7112499440189878,0.19681341625238602,0.03426037887948408,0.7573559048770657,0.03143893591293833,0.42402257154373385,2
0.2079806529625151,0.2079806529625151,0.7132204756146708,0.20464634829698522,0.037484885126964906,0.7492946392583633,0.046553808948004836,0.4199919387343827,3
0.19951632406287786,0.19951632406287786,0.7063683998387741,0.1914671305020971,0.031035872632003175,0.7533252720677144,0.04171704957678356,0.4167674324869017,4
0.20314389359129384,0.20314389359129384,0.7054503112544219,0.20361598071324416,0.045546150745667015,0.7492946392583637,0.05078597339782346,0.4127367996775505,5
0.20556227327690446,0.20556227327690446,0.7057638049173717,0.20261047551609093,0.03990326481257551,0.7468762595727528,0.04171704957678356,0.41354292623942074,6
0.2140266021765417,0.2140266021765417,0.7039052353441707,0.21107883820713055,0.04554615074566702,0.73720274083031,0.051390568319226115,0.4038694074969779,7
0.21160822249093109,0.21160822249093109,0.6978816785346403,0.20434233385207456,0.04474002418379682,0.7460701330108825,0.0471584038694075,0.4127367996775505,8
0.2079806529625151,0.2079806529625151,0.706077298580321,0.19559335800857627,0.0390971382507053,0.7452640064490123,0.042926239419588876,0.41193067311568027,9
